bagging,adaboost,random_oracle,random_subspace
1.0 (0.01),1.0 (0.0),0.86 (0.14),1.0 (0.0)
1.0 (0.01),1.0 (0.01),0.88 (0.13),1.0 (0.01)
1.0 (0.0),1.0 (0.0),0.91 (0.05),0.99 (0.01)
1.0 (0.0),1.0 (0.0),0.8 (0.11),0.99 (0.0)
1.0 (0.0),0.99 (0.02),0.88 (0.12),1.0 (0.0)
1.0 (0.0),1.0 (0.0),0.86 (0.13),1.0 (0.0)
1.0 (0.0),1.0 (0.0),0.82 (0.1),1.0 (0.0)
1.0 (0.0),1.0 (0.0),0.89 (0.09),1.0 (0.0)
1.0 (0.0),1.0 (0.0),0.9 (0.15),1.0 (0.0)
