ensemble_length,oracle_accuracy,oracle_accuracy
10,1.0,0.0
20,0.999,0.0022360679774997825
30,0.9993333333333332,0.001490711984999857
40,0.9995,0.0011180339887498759
50,0.9996,0.0008944271909999374
60,0.9993416898792944,0.0009015492930133316
80,0.9995062674094708,0.0006761619697599908
90,0.9995611265861962,0.0006010328620088774
100,0.9996050139275766,0.0005409295758080155
