ensemble_length,oracle_accuracy,oracle_accuracy
10,0.7713088029809037,0.11719736072294214
20,0.6571495109455053,0.1011428963876613
30,0.7853128396211769,0.1445635394885543
40,0.4977643223102003,0.1752457814932293
50,0.7486880919111939,0.21544651527263486
60,0.711908088806086,0.14919361285357238
80,0.8346995808104332,0.08962647345016864
90,0.7523831703151684,0.1082686051733317
100,0.6958546809501631,0.07845234242643329
