,oracle_accuracy,oracle_std,ensemble_length
0,0.9860956360259981,0.011250689137453446,10
1,0.994989167440421,0.00479382220069608,20
2,0.9988873413803777,0.0013627251346792241,30
3,0.9988857938718663,0.0022284122562674204,40
4,0.9994428969359331,0.0011142061281336879,50
5,0.9983286908077995,0.0022284122562674148,60
6,0.9988857938718663,0.0022284122562674204,80
7,1.0,0.0,90
8,1.0,0.0,100
