bagging,adaboost,random_oracle,random_subspace
0.99 (0.0),1.0 (0.0),0.86 (0.01),0.99 (0.01)
1.0 (0.0),1.0 (0.0),0.85 (0.01),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.85 (0.01),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.84 (0.01),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.86 (0.02),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.86 (0.01),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.86 (0.01),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.87 (0.02),0.99 (0.0)
1.0 (0.0),1.0 (0.0),0.85 (0.03),0.99 (0.0)
