bagging,adaboost,random_oracle,random_subspace
0.99 (0.01),0.98 (0.03),0.62 (0.02),1.0 (0.0)
1.0 (0.0),0.98 (0.04),0.65 (0.04),1.0 (0.0)
1.0 (0.0),0.97 (0.04),0.66 (0.08),1.0 (0.0)
1.0 (0.0),1.0 (0.0),0.62 (0.05),1.0 (0.0)
1.0 (0.0),0.99 (0.02),0.62 (0.03),1.0 (0.0)
1.0 (0.0),1.0 (0.0),0.66 (0.05),1.0 (0.0)
1.0 (0.0),1.0 (0.01),0.69 (0.04),1.0 (0.0)
1.0 (0.0),0.99 (0.02),0.64 (0.03),1.0 (0.0)
1.0 (0.0),1.0 (0.01),0.65 (0.04),1.0 (0.0)
