ensemble_length,oracle accuracy,standard deviation
10,0.8605294462595292,0.007825533919459653
20,0.852433609784703,0.013215337335008891
30,0.8530082935410908,0.012172751566726732
40,0.8414459244366256,0.014232346345699006
50,0.8634363742984,0.016688895307413746
60,0.855908519728575,0.006100506670447435
80,0.8634313479098601,0.01401557519090822
90,0.8686319845857419,0.021122295702201022
100,0.8483940688615229,0.02808510395415396
