ensemble_length,oracle accuracy,standard deviation
10,1.0,0.0
20,0.9966666666666667,0.007453559924999317
30,0.9933333333333334,0.006085806194501817
40,0.9949999999999999,0.004564354645876372
50,0.9960000000000001,0.0036514837167011174
60,0.9966666666666667,0.0030429030972509083
80,0.9974999999999999,0.0022821773229382155
90,0.9962962962962963,0.002618914004394611
100,0.9966666666666667,0.002357022603955164
