ensemble_length,oracle accuracy,standard deviation
10,0.30999999999999994,0.04031128874149276
20,0.32199999999999995,0.03667424164178451
30,0.326,0.035951356024495125
40,0.319,0.0462871472441325
50,0.33499999999999996,0.06113509630318743
60,0.342,0.03978064856183217
80,0.321,0.04682413907377263
90,0.321,0.040373258476372686
100,0.35600000000000004,0.03342902930089355
