ensemble_length,oracle accuracy,standard deviation
10,0.933,0.024135036772294293
20,0.974,0.02792848008753785
30,0.9620000000000001,0.04777551674236502
40,0.9860000000000001,0.010839741694339416
50,0.99,0.01172603939955859
60,0.9800000000000001,0.026220221204253758
80,0.9339999999999999,0.07627253765281446
90,0.9490000000000001,0.08648699324175863
100,0.9339999999999999,0.0905124300855965
