ensemble_length,oracle accuracy,standard deviation
10,0.9992263056092844,0.0017300332514504752
20,0.9976789168278529,0.003178274028076444
30,0.9821705426356588,0.038793589826437824
40,0.9879957416820355,0.013235465639112688
50,0.9988387087100594,0.001060110163446496
60,0.9945811404495224,0.006328429704402009
80,0.9969052224371374,0.004854893770990759
90,0.995740932331729,0.004195921489067583
100,0.9988394584139264,0.002595049877175802
